"","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53"
"61","2","1","1","1","1","1","1","1","2","1","2","2","1","2","2","2","1","2","2","1","1","2","2","2","2","1","2","1","2","2","2","1","2","2","1","2","2","1","3","3","3","3","3","7","7","3","1","5","6","6","1","1","3"
"62","2","2","2","1","1","2","2","1","1","1","1","1","2","2","2","2","1","2","1","2","2","2","1","2","2","1","2","1","2","2","1","2","1","2","2","1","1","1","2","3","1","4","2","5","4","3","2","6","4","8","6","6","5"
"63","2","2","2","2","2","2","1","2","1","2","2","1","1","1","1","2","2","2","2","1","2","2","1","1","2","2","2","1","2","2","1","2","2","2","1","2","2","1","3","1","2","4","5","1","2","4","3","1","6","2","2","6","4"
"64","1","2","1","1","1","1","1","1","1","2","2","1","1","1","2","1","2","2","2","1","2","2","1","1","2","2","1","2","2","2","1","2","1","1","1","1","1","1","2","2","2","2","4","5","6","2","4","5","8","6","5","5","8"
"65","2","2","2","2","2","2","2","1","2","1","2","2","2","1","1","1","1","1","2","2","2","1","2","2","1","2","1","1","1","2","1","2","1","1","1","2","2","1","2","3","1","4","8","6","6","7","3","4","7","6","1","2","6"
"66","2","1","2","1","2","1","2","2","2","2","1","1","1","1","1","2","2","1","2","2","2","2","1","2","2","1","1","1","1","1","1","1","1","1","1","1","1","1","4","3","2","1","6","7","6","5","1","2","1","3","8","6","2"
"67","2","2","1","2","1","2","2","1","1","1","1","2","1","2","2","2","1","1","2","2","1","2","2","1","2","2","1","1","1","1","2","2","1","1","1","1","1","1","4","1","3","2","4","1","3","6","3","6","1","7","7","1","1"
"68","1","1","1","2","1","2","2","1","2","1","2","1","2","2","2","1","2","2","1","2","2","1","2","1","2","2","1","2","2","2","2","1","2","2","1","2","1","2","2","3","1","4","5","2","5","6","1","1","1","3","3","8","8"
"69","2","2","1","2","1","2","1","2","2","2","1","1","2","2","2","1","2","2","2","1","1","1","1","2","1","2","2","1","2","1","2","2","2","2","1","1","1","1","1","3","4","2","1","6","7","1","3","7","4","3","8","5","7"
"70","2","2","1","2","1","2","1","2","2","1","2","1","2","2","1","2","2","1","2","2","1","2","2","2","2","1","1","2","2","1","1","1","1","1","1","1","1","1","3","1","2","4","1","8","5","2","8","3","3","1","1","3","5"
"71","1","1","2","2","2","2","2","1","1","2","2","1","2","2","1","2","2","1","2","2","1","1","1","1","1","1","2","2","1","2","2","1","2","2","1","1","1","1","3","2","4","1","7","8","7","6","2","4","5","6","5","6","1"
"72","2","2","1","2","1","2","1","2","2","2","1","1","1","1","1","2","2","2","1","2","1","1","1","1","2","2","2","2","1","2","2","1","1","1","1","1","2","2","4","2","1","3","7","5","2","3","7","8","1","5","1","2","7"
"73","2","1","2","2","1","1","1","1","2","1","2","1","2","2","2","2","1","1","1","1","2","2","1","1","2","2","1","1","1","1","1","1","2","1","2","2","2","1","1","1","1","1","1","3","8","6","4","5","7","5","4","6","7"
